N	P	K	temperature	humidity	ph	rainfall	label
90	42	43	20.87974371	82.00274423	6.502985292	202.9355362	rice
85	58	41	21.77046169	80.31964408	7.038096361	226.6555374	rice
60	55	44	23.00445915	82.3207629	7.840207144	263.9642476	rice

73	58	21	19.97215954	57.68272924	6.596060648	60.65171481	maize
61	38	20	18.47891261	62.69503871	5.970458434	65.43835393	maize
68	41	16	21.77689322	57.80840636	6.158830619	102.0861694	maize
93	41	17	25.6217169	66.50415474	6.047906679	105.4654703	maize
89	60	19	25.19192419	66.6902901	5.913664501	78.06639649	maize

40	72	77	17.02498456	16.98861173	7.485996067	88.55123143	chickpea
23	72	84	19.02061277	17.13159126	6.920251378	79.92698081	chickpea
39	58	85	17.88776475	15.40589717	5.996932037	68.54932919	chickpea
22	72	85	18.86805647	15.65809214	6.391173589	88.51048983	chickpea

13	60	25	17.13692774	20.59541693	5.68597166	128.256862	kidneybeans
25	70	16	19.63474332	18.90705639	5.759237003	106.3598183	kidneybeans
31	55	22	22.91350245	21.33953114	5.873171894	109.225556	kidneybeans
40	64	16	16.43340342	24.24045875	5.926676985	140.3717815	kidneybeans
2	61	20	22.13974653	23.02251117	5.95561668	76.64128258	kidneybeans
26	65	22	17.84806561	18.77621951	5.949949081	143.0984171	kidneybeans
17	57	21	19.88394011	20.31564139	5.789214289	60.91974792	kidneybeans

3	72	24	36.51268371	57.92887167	6.03160778	122.6539694	pigeonpeas
40	59	23	36.89163721	62.73178224	5.269084669	163.7266551	pigeonpeas
33	73	23	29.23540524	59.38967583	5.985792703	103.3301803	pigeonpeas
27	57	24	27.33534897	43.35795962	6.09186275	142.3303677	pigeonpeas

5	35	20	28.92952635	53.57014709	9.679240873	66.35634104	mothbeans
25	57	24	27.65472156	58.59986279	6.974978386	36.94255012	mothbeans
11	53	24	28.52396666	55.77264351	7.39389918	61.32935611	mothbeans
40	49	17	31.02215872	45.89239456	6.68727523	53.56783314	mothbeans
